n,root
1,1.0000000000000000000000000000000000000000
2,0.5857864376269050765699830662924796342850
2,3.4142135623730949234300169337075203657150
3,0.4157745567834791877714906149776652455330
3,2.2942803602790404760014553176006302237511
3,6.2899450829374785598702146671712398529053
4,0.3225476896193926190647971452563069760799
4,1.7457611011583471505304032689309678971767
4,4.5366202969211295581430931633803993463516
4,9.3950709123011328927077556727454066276550
5,0.2635603197181406454063790079089812934399
5,1.4134030591065147586249395317281596362591
5,3.5964257710407192547563681728206574916840
5,7.0858100058588373570955809555016458034515
5,12.6408008442757822109570042812265455722809
6,0.2228466041792602769788800287642516195774
6,1.1889321016726233093407927299267612397671
6,2.9927363260593162763711916340980678796768
6,5.7751435691045136522348002472426742315292
6,9.8374674183825980833262292435392737388611
6,15.9828739806017026126028213184326887130737
7,0.1930436765603620319353694867459125816822
7,1.0266648953391914744770474499091506004333
7,2.5678767449507464704083758988417685031891
7,4.9003530845264844373332380200736224651337
7,8.1821534445628643084091891068965196609497
7,12.7341802917978146325594934751279652118683
7,19.3957278622625430841708293883129954338074
8,0.1702796323051005700222049199510365724564
8,0.9037017767993794636893767346919048577547
8,2.2510866298661316164952950202859938144684
8,4.2667001702876561353150464128702878952026
8,7.0459054023934601929113341611810028553009
8,10.7585160101809922394977547810412943363190
8,15.7406786412780039796643904992379248142242
8,22.8631317368892617025721847312524914741516
9,0.1523222277318082573671631507750134915113
9,0.8072200227422553497902413255360443145037
9,2.0051351556193459657606581458821892738342
9,3.7834739733312301446233050228329375386238
9,6.2049567778766032688508857972919940948486
9,9.3729852516875684642627675202675163745880
9,13.4662369110920892012472904752939939498901
9,18.8335977889917067784608661895617842674255
9,26.3740718909273716974439594196155667304993
10,0.1377934705404924020655244021327234804630
10,0.7294545495031699022803195475717075169086
10,1.8083429017403158667320894892327487468719
10,3.4014336978549009060657226655166596174240
10,5.5524961400638055408762738807126879692078
10,8.3301527467644831403958960436284542083740
10,11.8437858379000822139914816943928599357605
10,16.2792578313781071130961208837106823921204
10,21.9965858119807755599595111561939120292664
10,29.9206970122738979966925398912280797958374
11,0.1257964421879684824290279721026308834553
11,0.6654182558392287560877775831613689661026
11,1.6471505458721695802637441374827176332474
11,3.0911381430352502519554036553017795085907
11,5.0292844015798365830960392486304044723511
11,7.5098878638066226542946424160618335008621
11,10.6059509995469785081922964309342205524445
11,14.4316137580641985493912216043099761009216
11,19.1788574032146605929938232293352484703064
11,25.2177093396775582334612408885732293128967
11,33.4971928471755404643772635608911514282227
12,0.1157221173580176287742915519629605114460
12,0.6117574845151260154452188544382806867361
12,1.5126102697764185478490617242641746997833
12,2.8337513377435099570789134304504841566086
12,4.5992276394183511101232397777494043111801
12,6.8445254531151764609830934205092489719391
12,9.6213168424568724645951078855432569980621
12,13.0060549933063409611122551723383367061615
12,17.1168551874622423270011495333164930343628
12,22.1510903793970435060600721044465899467468
12,28.4879672509840169425388012314215302467346
12,37.0991210444669547996454639360308647155762
13,0.1071423884722541020053654392540920525789
13,0.5661318990404040629726978295366279780865
13,1.3985643364510211839046860404778271913528
13,2.6165971084064088003628967271652072668076
13,4.2388459290170352744553383672609925270081
13,6.2922562711400704671405037515796720981598
13,8.8150019411869848795504367444664239883423
13,11.8614035888112390182413946604356169700623
13,15.5107620377037491721239348407834768295288
13,19.8846356638802603811200242489576339721680
13,25.1852638646777364783702068962156772613525
13,31.8003863019472916562335740309208631515503
13,40.7230086692655675051355501636862754821777
14,0.0997475070326027113409850244352128356695
14,0.5268576488519105538443909608758985996246
14,1.3006291212514962118973471660865470767021
14,2.4308010787308447220311791170388460159302
14,3.9321028222932219442498080752557143568993
14,5.8255362183017167510001854680012911558151
14,8.1402401415651439720022608526051044464111
14,10.9164995073660193725118006113916635513306
14,14.2108050111612733701349498005583882331848
14,18.1048922202181330476378207094967365264893
14,22.7233816282696103883154137292876839637756
14,28.2729817232482396605064423056319355964661
14,35.1494436605924320815574901644140481948853
14,44.3660817111173813032110047060996294021606
15,0.0933078120172874947435559533914783969522
15,0.4926917403018863939045957067719427868724
15,1.2155954120709522303656058284104801714420
15,2.2699495262037454601511399232549592852592
15,3.6676227217514405509746211464516818523407
15,5.4253366274135581548421214392874389886856
15,7.5659162266130666196772835974115878343582
15,10.1202285680191010897033265791833400726318
15,13.1302824821757067041971822618506848812103
15,16.6544077083299448815978394122794270515442
15,20.7764788994487723527981870574876666069031
15,25.6238942267287548304466326953843235969543
15,31.4075191697539004564987408230081200599670
15,38.5306833064860825288633350282907485961914
15,48.0260855726858153502689674496650695800781
16,0.0876494104789284078638189612320275045931
16,0.4626963289150802238758330986456712707877
16,1.1410577748312167312150222642230801284313
16,2.1292836450983791962698887800797820091248
16,3.4370866338932031247566101228585466742516
16,5.0780186145497712146834601298905909061432
16,7.0703385350482355065082629153039306402206
16,9.4383143363919383972415744210593402385712
16,12.2142233688661665524932686821557581424713
16,15.4415273687816263503691516234539449214935
16,19.1801568567531397491165989777073264122009
16,23.5159056939919288709006650606170296669006
16,28.5787297428821460698600276373326778411865
16,34.5833987022866224947392765898257493972778
16,41.9404526476884527141919534187763929367065
16,51.7011603395432217666893848218023777008057
17,0.0826382147089438356957202813646290451288
17,0.4361503235587004811968370177055476233363
17,1.0751765775114243695043114712461829185486
17,2.0051935316492341954131006787065416574478
17,3.2342561240474378969622648583026602864265
17,4.7735135137001964977798706968314945697784
17,6.6378292053649516901714378036558628082275
17,8.8466855111697917379842692753300070762634
17,11.4255293193733553636093347449786961078644
17,14.4078230374813482939089226420037448406219
17,17.8382847307011296322798443725332617759705
17,21.7782682577222956865625747013837099075317
17,26.3153178112487893258730764500796794891357
