n,y_i
1,0
2,-0.5773502691896257645091487805019574556476
2,0.5773502691896257645091487805019574556476
3,-0.7745966692414833770358530799564799221666
3,0
3,0.7745966692414833770358530799564799221666
4,-0.8611363115940525752239464888928095050957
4,-0.3399810435848562648026657591032446872006
4,0.3399810435848562648026657591032446872006
4,0.8611363115940525752239464888928095050957
5,-0.9061798459386639927976268782993929651257
5,-0.5384693101056830910363144207002088049673
5,0
5,0.5384693101056830910363144207002088049673
5,0.9061798459386639927976268782993929651257
6,-0.9324695142031520278123015544939946091348
6,-0.6612093864662645136613995950199053470064
6,-0.2386191860831969086305017216807119354186
6,0.2386191860831969086305017216807119354186
6,0.6612093864662645136613995950199053470064
6,0.9324695142031520278123015544939946091348
7,-0.9491079123427585245261896840478512624008
7,-0.7415311855993944398638647732807884070741
7,-0.4058451513773971669066064120769614633474
7,0
7,0.4058451513773971669066064120769614633474
7,0.7415311855993944398638647732807884070741
7,0.9491079123427585245261896840478512624008
8,-0.9602898564975362316835608685694729904282
8,-0.7966664774136267395915539364758304368372
8,-0.5255324099163289858177390491892463490420
8,-0.1834346424956498049394761423601839806668
8,0.1834346424956498049394761423601839806668
8,0.5255324099163289858177390491892463490420
8,0.7966664774136267395915539364758304368372
8,0.9602898564975362316835608685694729904282
9,-0.9681602395076260898355762029036728700494
9,-0.8360311073266357942994297880697348765441
9,-0.6133714327005903973087020393414741847857
9,-0.3242534234038089290385380146433366085720
9,0
9,0.3242534234038089290385380146433366085720
9,0.6133714327005903973087020393414741847857
9,0.8360311073266357942994297880697348765441
9,0.9681602395076260898355762029036728700494
10,-0.9739065285171717200779640120844520534283
10,-0.8650633666889845107320966884234930485275
10,-0.6794095682990244062343273651148735757693
10,-0.4333953941292471907992659431657841622001
10,-0.1488743389816312108848260011297199846176
10,0.1488743389816312108848260011297199846176
10,0.4333953941292471907992659431657841622001
10,0.6794095682990244062343273651148735757693
10,0.8650633666889845107320966884234930485275
10,0.9739065285171717200779640120844520534283
11,-0.9782286581460569928039380011228573907714
11,-0.8870625997680952990751577693039272666317
11,-0.7301520055740493240934162520311534580496
11,-0.5190961292068118159257256694586095544802
11,-0.2695431559523449723315319854008615246796
11,0
11,0.2695431559523449723315319854008615246796
11,0.5190961292068118159257256694586095544802
11,0.7301520055740493240934162520311534580496
11,0.8870625997680952990751577693039272666317
11,0.9782286581460569928039380011228573907714
12,-0.9815606342467192506905490901492808229602
12,-0.9041172563704748566784658661190961925376
12,-0.7699026741943046870368938332128180759849
12,-0.5873179542866174472967024189405342803691
12,-0.3678314989981801937526915366437175612564
12,-0.1252334085114689154724413694638531299834
12,0.1252334085114689154724413694638531299834
12,0.3678314989981801937526915366437175612564
12,0.5873179542866174472967024189405342803691
12,0.7699026741943046870368938332128180759849
12,0.9041172563704748566784658661190961925376
12,0.9815606342467192506905490901492808229602
13,-0.9841830547185881494728294488071096110650
13,-0.9175983992229779652065478365007195123905
13,-0.8015780907333099127942064895828598903056
13,-0.6423493394403402206439846069955156500717
13,-0.4484927510364468528779128521276398678019
13,-0.2304583159551347940655281210979888352115
13,0
13,0.2304583159551347940655281210979888352115
13,0.4484927510364468528779128521276398678019
13,0.6423493394403402206439846069955156500717
13,0.8015780907333099127942064895828598903056
13,0.9175983992229779652065478365007195123905
13,0.9841830547185881494728294488071096110650
14,-0.9862838086968123388415972667040528016761
14,-0.9284348836635735173363911393778742644770
14,-0.8272013150697649931897947426503949610397
14,-0.6872929048116854701480198030193341375384
14,-0.5152486363581540919652907185511886623089
14,-0.3191123689278897604356718241684754668343
14,-0.1080549487073436620662446502198347476120
14,0.1080549487073436620662446502198347476120
14,0.3191123689278897604356718241684754668343
14,0.5152486363581540919652907185511886623089
14,0.6872929048116854701480198030193341375384
14,0.8272013150697649931897947426503949610397
14,0.9284348836635735173363911393778742644770
14,0.9862838086968123388415972667040528016761
15,-0.9879925180204854284895657185866125811470
15,-0.9372733924007059043077589477102094712440
15,-0.8482065834104272162006483207742168513663
15,-0.7244177313601700474161860546139380096309
15,-0.5709721726085388475372267372539106412384
15,-0.3941513470775633698972073709810454683628
15,-0.2011940939974345223006283033945962078128
15,0
15,0.2011940939974345223006283033945962078128
15,0.3941513470775633698972073709810454683628
15,0.5709721726085388475372267372539106412384
15,0.7244177313601700474161860546139380096309
15,0.8482065834104272162006483207742168513663
15,0.9372733924007059043077589477102094712440
15,0.9879925180204854284895657185866125811470
16,-0.9894009349916499325961541734503326274263
16,-0.9445750230732325760779884155346083450911
16,-0.8656312023878317438804678977123931323873
16,-0.7554044083550030338951011948474422683538
16,-0.6178762444026437484466717640487910189919
16,-0.4580167776572273863424194429835775735400
16,-0.2816035507792589132304605014604961064861
16,-0.09501250983763744018531933542495806313035
16,0.09501250983763744018531933542495806313035
16,0.2816035507792589132304605014604961064861
16,0.4580167776572273863424194429835775735400
16,0.6178762444026437484466717640487910189919
16,0.7554044083550030338951011948474422683538
16,0.8656312023878317438804678977123931323873
16,0.9445750230732325760779884155346083450911
16,0.9894009349916499325961541734503326274263
17,-0.9905754753144173356754340199406652765078
17,-0.9506755217687677612227169578958030214434
17,-0.8802391537269859021229556944881556926234
17,-0.7815140038968014069252300555204760502240
17,-0.6576711592166907658503022166430023351478
17,-0.5126905370864769678862465686295518745829
17,-0.3512317634538763152971855170953460050405
17,-0.1784841814958478558506774936540655574754
17,0
